id,genus,species,common_name,latitude,longitude,type,date,time,length,quality,remarks,sex,stage,also,file_name,local_file
418099,Scolopax,minor,American Woodcock,41.6847,-83.395,"flight call, song",2018-05-08,21:30,2:55,A,Natural vocalization. Both beent and twitter.,,,,Scolopax_minor_Maumee_Bay_SP_Ohio_418099.mp3,Original Recordings\Scolopax_minor_Maumee_Bay_SP_Ohio_418099.mp3
171997,Scolopax,minor,American Woodcock,40.0845,-83.0526,"call, song",2014-03-26,20:15,1:52,B,"Last of three recordings from 26 March 2014 between 8:05-8:20pm, from the north end of the Godown Road Park (Dog Park) on the east side of the OSU Airport area off Godown Rd, Columbus, OH.  There were multiple birds present and calling/displaying, but the recordings focused on one individual ""peent""calling from the ground, then flying off giving twittering areal display calls before (in this recording) returning to the same site (It lands around 0:20 then resumes ""peent""ing).  Shortly after this, around 1:10, a Great Horned Owl flew over, silencing all but one distant bird for at least the next 10 minutes.  Habitat: Mixed brush, sparse trees and heavily impacted grassland mix.
Recording made using a Sennheiser ME67 shotgun mic and a Sony Hi-MD recorder, model MZ-RH910 and cleaned up using Audacity: High Pass filter (2k, 5q, 12db) and noise removal.  
WAV version at https://soundcloud.com/paul-j-hurtado/american-woodcock-3-3.  
eBird Checklist: http://ebird.org/ebird/view/checklist?subID=S17613891",male,,,Scolopax_minor_Columbus_Franklin_County_Ohio_171997.mp3,Original Recordings\Scolopax_minor_Columbus_Franklin_County_Ohio_171997.mp3
171994,Scolopax,minor,American Woodcock,40.0845,-83.0526,"call, song",2014-03-26,20:15,0:52,B,"Second of three recordings from 26 March 2014 between 8:05-8:20pm, from the north end of the Godown Road Park (Dog Park) on the east side of the OSU Airport area off Godown Rd, Columbus, OH.  There were multiple birds present and calling/displaying, but the recordings focused on one individual ""peent""calling from the ground, then (in this recording) flying off giving twittering areal display calls before (not in this recording) returning to the same site.  Habitat: Mixed brush, sparse trees and heavily impacted grassland mix.
Recording made using a Sennheiser ME67 shotgun mic and a Sony Hi-MD recorder, model MZ-RH910 and cleaned up using Audacity: High Pass filter (2k, 5q, 12db) and noise removal.  
WAV version at https://soundcloud.com/paul-j-hurtado/american-woodcock-1-3.  
eBird Checklist: http://ebird.org/ebird/view/checklist?subID=S17613891",male,,Branta canadensis,Scolopax_minor_Columbus_Franklin_County_Ohio_171994.mp3,Original Recordings\Scolopax_minor_Columbus_Franklin_County_Ohio_171994.mp3
171991,Scolopax,minor,American Woodcock,40.0845,-83.0526,"call, song",2014-03-26,20:15,2:41,B,"First of three recordings from the same location on 26 March 2014 between 8:05-8:20pm, from the north end of the Godown Road Park (Dog Park) on the east side of the OSU Airport area off Godown Rd, Columbus, OH.  There were multiple birds present and calling/displaying, but the recordings focused on one individual ""peent""calling from the ground, then flying off giving twittering areal display calls before returning to the same site.  Habitat: Mixed brush, sparse trees and heavily impacted grassland mix.
Recording made using a Sennheiser ME67 shotgun mic and a Sony Hi-MD recorder, model MZ-RH910 and cleaned up using Audacity: High Pass filter (2k, 5q, 12db) and noise removal.  
WAV version at https://soundcloud.com/paul-j-hurtado/american-woodcock-1-3.  
eBird Checklist: http://ebird.org/ebird/view/checklist?subID=S17613891 ",male,,"Melospiza melodia, Turdus migratorius, Cardinalis cardinalis",Scolopax_minor_Columbus_Franklin_County_Ohio_171991.mp3,Original Recordings\Scolopax_minor_Columbus_Franklin_County_Ohio_171991.mp3
473284,Scolopax,minor,American Woodcock,41.949,-82.5193,flight call,2019-05-04,05:04,0:02,C,,,,,Scolopax_minor_Pelee_near__Leamington_Essex_County_Ontario_473284.mp3,Original Recordings\Scolopax_minor_Pelee_near__Leamington_Essex_County_Ontario_473284.mp3
55153,Scolopax,minor,American Woodcock,39.986,-83.02,wing sound,2010-04-02,02:39,0:10,C,Brief wing sound given by presumed overhead migrant.  American Robins singing in the background.  Recorded using automated nocturnal flight call microphone with Knowles element.  Urban residential habitat.,,,Turdus migratorius,Scolopax_minor_Columbus_Ohio_flight_call_recording_station_55153.mp3,Original Recordings\Scolopax_minor_Columbus_Ohio_flight_call_recording_station_55153.mp3
17025,Tringa,solitaria,Solitary Sandpiper,41.62116,-83.16103,call,2007-04-26,?,0:03,C,,,,"Agelaius phoeniceus, Branta canadensis",Tringa_solitaria_Ohio_Crane_Creek_SP_17025.mp3,Original Recordings\Tringa_solitaria_Ohio_Crane_Creek_SP_17025.mp3
17051,Tringa,flavipes,Lesser Yellowlegs,41.61422,-83.17215,"call, song",2007-05-02,?,0:05,B,,,,,Tringa_flavipes_Ohio_Magee_Marsh_17051.mp3,Original Recordings\Tringa_flavipes_Ohio_Magee_Marsh_17051.mp3
17050,Tringa,flavipes,Lesser Yellowlegs,41.61422,-83.17215,call,2007-05-02,?,0:08,B,,,,Charadrius vociferus,Tringa_flavipes_Ohio_Magee_Marsh_17050.mp3,Original Recordings\Tringa_flavipes_Ohio_Magee_Marsh_17050.mp3
17049,Tringa,flavipes,Lesser Yellowlegs,41.61422,-83.17215,call,2007-05-02,?,0:10,B,,,,"Agelaius phoeniceus, Branta canadensis",Tringa_flavipes_Ohio_Magee_Marsh_17049.mp3,Original Recordings\Tringa_flavipes_Ohio_Magee_Marsh_17049.mp3
